------------ Thu Feb 05 09:40:47 IST 2026 ------------
/dev/nvme0n1p2: recovering journal
/dev/nvme0n1p2: Clearing orphaned inode 20334032 (uid=1000, gid=1000, mode=0100664, size=7038)
/dev/nvme0n1p2: Clearing orphaned inode 22676281 (uid=0, gid=0, mode=0100644, size=167109)
/dev/nvme0n1p2: Clearing orphaned inode 20351554 (uid=1000, gid=1000, mode=0100664, size=8436)
/dev/nvme0n1p2: Clearing orphaned inode 9699439 (uid=0, gid=0, mode=0100644, size=17019214)
/dev/nvme0n1p2: Clearing orphaned inode 20322820 (uid=1000, gid=1000, mode=0100664, size=8420)
/dev/nvme0n1p2: Clearing orphaned inode 9699441 (uid=0, gid=0, mode=0100644, size=22992826)
/dev/nvme0n1p2: Clearing orphaned inode 9699392 (uid=0, gid=0, mode=0100644, size=16652982)
/dev/nvme0n1p2: Clearing orphaned inode 9699451 (uid=0, gid=0, mode=0100644, size=19286375)
/dev/nvme0n1p2: Clearing orphaned inode 9699435 (uid=0, gid=0, mode=0100644, size=15882467)
/dev/nvme0n1p2: Clearing orphaned inode 9699437 (uid=0, gid=0, mode=0100644, size=15995931)
/dev/nvme0n1p2: Clearing orphaned inode 9699424 (uid=0, gid=0, mode=0100644, size=15972831)
/dev/nvme0n1p2: Clearing orphaned inode 9699344 (uid=0, gid=0, mode=0100644, size=17163872)
/dev/nvme0n1p2: Clearing orphaned inode 20364544 (uid=1000, gid=1000, mode=0100664, size=9840)
/dev/nvme0n1p2: Clearing orphaned inode 9442782 (uid=0, gid=0, mode=0100644, size=44064)
/dev/nvme0n1p2: Clearing orphaned inode 9699450 (uid=0, gid=0, mode=0100644, size=15787206)
/dev/nvme0n1p2: Clearing orphaned inode 9699427 (uid=0, gid=0, mode=0100644, size=15546685)
/dev/nvme0n1p2: Clearing orphaned inode 20327756 (uid=1000, gid=1000, mode=0100664, size=9832)
/dev/nvme0n1p2: Clearing orphaned inode 9699350 (uid=0, gid=0, mode=040775, size=4096)
/dev/nvme0n1p2: Clearing orphaned inode 20355855 (uid=1000, gid=1000, mode=0100664, size=7195)
/dev/nvme0n1p2: Clearing orphaned inode 20323704 (uid=1000, gid=1000, mode=0100664, size=9176)
/dev/nvme0n1p2: Clearing orphaned inode 9699442 (uid=0, gid=0, mode=0100644, size=20892743)
/dev/nvme0n1p2: Clearing orphaned inode 9699447 (uid=0, gid=0, mode=0100644, size=16920085)
/dev/nvme0n1p2: Clearing orphaned inode 9699419 (uid=0, gid=0, mode=0100644, size=16568779)
/dev/nvme0n1p2: Clearing orphaned inode 9699440 (uid=0, gid=0, mode=0100644, size=17132739)
/dev/nvme0n1p2: Clearing orphaned inode 9699443 (uid=0, gid=0, mode=0100644, size=20338153)
/dev/nvme0n1p2: Clearing orphaned inode 9699461 (uid=0, gid=0, mode=040777, size=40960)
/dev/nvme0n1p2: Clearing orphaned inode 9699449 (uid=0, gid=0, mode=040777, size=4096)
/dev/nvme0n1p2: Clearing orphaned inode 20323330 (uid=1000, gid=1000, mode=0100664, size=8428)
/dev/nvme0n1p2: Clearing orphaned inode 20322703 (uid=1000, gid=1000, mode=0100664, size=7046)
/dev/nvme0n1p2: Clearing orphaned inode 20323077 (uid=1000, gid=1000, mode=0100664, size=7046)
/dev/nvme0n1p2: Clearing orphaned inode 20356928 (uid=1000, gid=1000, mode=0100664, size=9184)
/dev/nvme0n1p2: Clearing orphaned inode 22548367 (uid=0, gid=0, mode=0100644, size=160512)
/dev/nvme0n1p2: Clearing orphaned inode 20351970 (uid=1000, gid=1000, mode=0100664, size=9184)
/dev/nvme0n1p2: Clearing orphaned inode 9442777 (uid=0, gid=0, mode=0100644, size=54056)
/dev/nvme0n1p2: Clearing orphaned inode 20320335 (uid=1000, gid=1000, mode=0100664, size=9832)
/dev/nvme0n1p2: Clearing orphaned inode 9442780 (uid=0, gid=0, mode=0100644, size=62800)
/dev/nvme0n1p2: Clearing orphaned inode 9442787 (uid=0, gid=0, mode=0100644, size=55112)
/dev/nvme0n1p2: Clearing orphaned inode 9442781 (uid=0, gid=0, mode=0100644, size=19480)
/dev/nvme0n1p2: Clearing orphaned inode 9442789 (uid=0, gid=0, mode=0100644, size=3368)
/dev/nvme0n1p2: Clearing orphaned inode 9442790 (uid=0, gid=0, mode=0100644, size=27232)
/dev/nvme0n1p2: Clearing orphaned inode 9442791 (uid=0, gid=0, mode=0100644, size=424496)
