2026-02-03 13:34:35 startup archives unpack
2026-02-03 13:34:35 upgrade google-chrome-stable:amd64 144.0.7559.59-1 144.0.7559.109-1
2026-02-03 13:34:35 status half-configured google-chrome-stable:amd64 144.0.7559.59-1
2026-02-03 13:34:35 status unpacked google-chrome-stable:amd64 144.0.7559.59-1
2026-02-03 13:34:35 status half-installed google-chrome-stable:amd64 144.0.7559.59-1
2026-02-03 13:34:38 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-03 13:34:38 status triggers-pending desktop-file-utils:amd64 0.28-1
2026-02-03 13:34:38 status triggers-pending man-db:amd64 2.13.0-1
2026-02-03 13:34:38 status unpacked google-chrome-stable:amd64 144.0.7559.109-1
2026-02-03 13:34:38 upgrade code:amd64 1.108.1-1768404234 1.108.2-1769004815
2026-02-03 13:34:38 status half-configured code:amd64 1.108.1-1768404234
2026-02-03 13:34:38 status unpacked code:amd64 1.108.1-1768404234
2026-02-03 13:34:38 status half-installed code:amd64 1.108.1-1768404234
2026-02-03 13:34:40 status triggers-pending shared-mime-info:amd64 2.4-5build1
2026-02-03 13:34:42 status unpacked code:amd64 1.108.2-1769004815
2026-02-03 13:34:42 upgrade fwupd:amd64 2.0.7-1 2.0.13-1~25.04.1
2026-02-03 13:34:42 status half-configured fwupd:amd64 2.0.7-1
2026-02-03 13:34:42 status unpacked fwupd:amd64 2.0.7-1
2026-02-03 13:34:42 status half-installed fwupd:amd64 2.0.7-1
2026-02-03 13:34:43 status triggers-pending dbus:amd64 1.16.2-2ubuntu1
2026-02-03 13:34:43 status triggers-pending hicolor-icon-theme:all 0.18-2
2026-02-03 13:34:43 status unpacked fwupd:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:43 upgrade libfwupd3:amd64 2.0.7-1 2.0.13-1~25.04.1
2026-02-03 13:34:43 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2026-02-03 13:34:43 status half-configured libfwupd3:amd64 2.0.7-1
2026-02-03 13:34:43 status unpacked libfwupd3:amd64 2.0.7-1
2026-02-03 13:34:43 status half-installed libfwupd3:amd64 2.0.7-1
2026-02-03 13:34:43 status unpacked libfwupd3:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:43 startup packages configure
2026-02-03 13:34:43 configure code:amd64 1.108.2-1769004815 <none>
2026-02-03 13:34:43 status unpacked code:amd64 1.108.2-1769004815
2026-02-03 13:34:43 status half-configured code:amd64 1.108.2-1769004815
2026-02-03 13:34:45 status installed code:amd64 1.108.2-1769004815
2026-02-03 13:34:45 configure google-chrome-stable:amd64 144.0.7559.109-1 <none>
2026-02-03 13:34:45 status unpacked google-chrome-stable:amd64 144.0.7559.109-1
2026-02-03 13:34:45 status half-configured google-chrome-stable:amd64 144.0.7559.109-1
2026-02-03 13:34:45 status installed google-chrome-stable:amd64 144.0.7559.109-1
2026-02-03 13:34:45 configure libfwupd3:amd64 2.0.13-1~25.04.1 <none>
2026-02-03 13:34:45 status unpacked libfwupd3:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:45 status half-configured libfwupd3:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:45 status installed libfwupd3:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:46 configure fwupd:amd64 2.0.13-1~25.04.1 <none>
2026-02-03 13:34:46 status unpacked fwupd:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:46 status half-configured fwupd:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:46 status installed fwupd:amd64 2.0.13-1~25.04.1
2026-02-03 13:34:46 trigproc hicolor-icon-theme:all 0.18-2 <none>
2026-02-03 13:34:46 status half-configured hicolor-icon-theme:all 0.18-2
2026-02-03 13:34:46 status installed hicolor-icon-theme:all 0.18-2
2026-02-03 13:34:46 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-02-03 13:34:46 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-03 13:34:46 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-03 13:34:46 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2026-02-03 13:34:46 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2026-02-03 13:34:46 status installed libc-bin:amd64 2.41-6ubuntu1.2
2026-02-03 13:34:46 trigproc man-db:amd64 2.13.0-1 <none>
2026-02-03 13:34:46 status half-configured man-db:amd64 2.13.0-1
2026-02-03 13:34:48 status installed man-db:amd64 2.13.0-1
2026-02-03 13:34:48 trigproc dbus:amd64 1.16.2-2ubuntu1 <none>
2026-02-03 13:34:48 status half-configured dbus:amd64 1.16.2-2ubuntu1
2026-02-03 13:34:48 status installed dbus:amd64 1.16.2-2ubuntu1
2026-02-03 13:34:48 trigproc shared-mime-info:amd64 2.4-5build1 <none>
2026-02-03 13:34:48 status half-configured shared-mime-info:amd64 2.4-5build1
2026-02-03 13:34:49 status installed shared-mime-info:amd64 2.4-5build1
2026-02-03 13:34:49 trigproc desktop-file-utils:amd64 0.28-1 <none>
2026-02-03 13:34:49 status half-configured desktop-file-utils:amd64 0.28-1
2026-02-03 13:34:49 status installed desktop-file-utils:amd64 0.28-1
2026-02-04 14:52:15 startup archives unpack
2026-02-04 14:52:16 install lksctp-tools:amd64 <none> 1.0.21+dfsg-1
2026-02-04 14:52:16 status half-installed lksctp-tools:amd64 1.0.21+dfsg-1
2026-02-04 14:52:16 status triggers-pending man-db:amd64 2.13.0-1
2026-02-04 14:52:16 status unpacked lksctp-tools:amd64 1.0.21+dfsg-1
2026-02-04 14:52:16 startup packages configure
2026-02-04 14:52:16 configure lksctp-tools:amd64 1.0.21+dfsg-1 <none>
2026-02-04 14:52:16 status unpacked lksctp-tools:amd64 1.0.21+dfsg-1
2026-02-04 14:52:16 status half-configured lksctp-tools:amd64 1.0.21+dfsg-1
2026-02-04 14:52:16 status installed lksctp-tools:amd64 1.0.21+dfsg-1
2026-02-04 14:52:16 trigproc man-db:amd64 2.13.0-1 <none>
2026-02-04 14:52:16 status half-configured man-db:amd64 2.13.0-1
2026-02-04 14:52:16 status installed man-db:amd64 2.13.0-1
2026-02-09 13:26:32 startup archives unpack
2026-02-09 13:26:32 install liblzf1:amd64 <none> 3.6-4
2026-02-09 13:26:32 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2026-02-09 13:26:32 status half-installed liblzf1:amd64 3.6-4
2026-02-09 13:26:32 status unpacked liblzf1:amd64 3.6-4
2026-02-09 13:26:32 install redis-tools:amd64 <none> 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status half-installed redis-tools:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status triggers-pending man-db:amd64 2.13.0-1
